,Year,Region,Population
0,1990,Адыгея,434788.0
1,1990,Алтайский край,2640419.0
2,1990,Амурская область,1055337.0
3,1990,Архангельская область,1523509.0
4,1990,Астраханская область,997516.0
5,1990,Башкортостан,3941321.0
6,1990,Белгородская область,1387455.0
7,1990,Брянская область,1470953.0
8,1990,Бурятия,1048063.0
9,1990,Владимирская область,1657068.0
10,1990,Волгоградская область,2620147.0
11,1990,Вологодская область,1354471.0
12,1990,Воронежская область,2471569.0
13,1990,Дагестан,1820164.0
14,1990,Еврейская автономная область,218330.0
15,1990,Забайкальский край,1320562.0
16,1990,Ивановская область,1295215.0
17,1990,Ингушетия,189340.0
18,1990,Иркутская область,2794858.0
19,1990,Кабардино-Балкария,762288.0
20,1990,Калининградская область,881211.0
21,1990,Калмыкия,325040.0
22,1990,Калужская область,1068443.0
23,1990,Камчатский край,476911.0
24,1990,Карачаево-Черкесия,419136.0
25,1990,Карелия,791719.0
26,1990,Кемеровская область,3099236.0
27,1990,Кировская область,1651726.0
28,1990,Костромская область,804999.0
29,1990,Краснодарский край,4638102.0
30,1990,Красноярский край,3155929.0
31,1990,Крым,2065829.0
32,1990,Курганская область,1107280.0
33,1990,Курская область,1332957.0
34,1990,Ленинградская область,1667280.0
35,1990,Липецкая область,1231486.0
36,1990,Магаданская область,390276.0
37,1990,Марий Эл,753698.0
38,1990,Мордовия,963778.0
39,1990,Москва,8880124.0
40,1990,Московская область,6700180.0
41,1990,Мурманская область,1191468.0
42,1990,Ненецкий автономный округ,51993.0
43,1990,Нижегородская область,3780256.0
44,1990,Новгородская область,753369.0
45,1990,Новосибирская область,2742075.0
46,1990,Омская область,2152578.0
47,1990,Оренбургская область,2151097.0
48,1990,Орловская область,895123.0
49,1990,Пензенская область,1546079.0
50,1990,Пермский край,3027958.0
51,1990,Приморский край,2296684.0
52,1990,Псковская область,844140.0
53,1990,Республика Алтай,193275.0
54,1990,Республика Коми,1248891.0
55,1990,Республика Тыва,312576.0
56,1990,Ростовская область,4307956.0
57,1990,Рязанская область,1350263.0
58,1990,Самарская область,3236370.0
59,1990,Санкт-Петербург,5002444.0
60,1990,Саратовская область,2697733.0
61,1990,Сахалинская область,713981.0
62,1990,Свердловская область,4765879.0
63,1990,Севастополь,392826.0
64,1990,Северная Осетия,646348.0
65,1990,Смоленская область,1158429.0
66,1990,Ставропольский край,2435834.0
67,1990,Тамбовская область,1319338.0
68,1990,Татарстан,3653969.0
69,1990,Тверская область,1666534.0
70,1990,Томская область,1075182.0
71,1990,Тульская область,1856206.0
72,1990,Тюменская область,1394091.0
73,1990,Удмуртия,1611461.0
74,1990,Ульяновская область,1410878.0
75,1990,Хабаровский край,1619663.0
76,1990,Хакасия,570934.0
77,1990,Ханты-Мансийский автономный округ,1267030.0
78,1990,Челябинская область,3701694.0
79,1990,Чечня,1100334.0
80,1990,Чувашия,1337182.0
81,1990,Чукотский автономный округ,162135.0
82,1990,Якутия,1111480.0
83,1990,Ямало-Ненецкий автономный округ,489161.0
84,1990,Ярославская область,1472126.0
85,1991,Адыгея,436598.0
86,1991,Алтайский край,2653818.0
87,1991,Амурская область,1054267.0
88,1991,Архангельская область,1517293.0
89,1991,Астраханская область,1001044.0
90,1991,Башкортостан,3962282.0
91,1991,Белгородская область,1397986.0
92,1991,Брянская область,1457987.0
93,1991,Бурятия,1052038.0
94,1991,Владимирская область,1654489.0
