,Region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Адыгея,434788.0,436598.0,441280.0,446191.0,448480.0,449864.0,450358.0,450075.0,450810.0,450358.0,449052.0,447327.0,446628.0,446828.0,444848.0,443300.0,440993.0,438603.0,437900.0,439380.0,439760.0,439935.0,442451.0,444403.0,446406.0,449171.0,451480.0,453366.0,453376.0,454744.0
1,Алтайский край,2640419.0,2653818.0,2664886.0,2680334.0,2684297.0,2694271.0,2688035.0,2676677.0,2670454.0,2662738.0,2651628.0,2641079.0,2621050.0,2602595.0,2571987.0,2539430.0,2503510.0,2473024.0,2453455.0,2438910.0,2430765.0,2417358.0,2407230.0,2398751.0,2390638.0,2384812.0,2376774.0,2365680.0,2350080.0,2332813.0
2,Амурская область,1055337.0,1054267.0,1048649.0,1029516.0,1018407.0,995012.0,986417.0,974942.0,962023.0,949526.0,935607.0,923055.0,911381.0,901044.0,887781.0,874018.0,861056.0,850502.0,844290.0,838869.0,834905.0,828660.0,821573.0,816910.0,811274.0,809873.0,805689.0,801752.0,798424.0,793194.0
3,Архангельская область,1523509.0,1517293.0,1504339.0,1489573.0,1471475.0,1453656.0,1432697.0,1412345.0,1392100.0,1372631.0,1349160.0,1328187.0,1309552.0,1290956.0,1273668.0,1257312.0,1239924.0,1224813.0,1215264.0,1204347.0,1195378.0,1182776.0,1171096.0,1159506.0,1148760.0,1139950.0,1130240.0,1121813.0,1111031.0,1100290.0
4,Астраханская область,997516.0,1001044.0,1003253.0,1004737.0,1006099.0,1014170.0,1019171.0,1020576.0,1019880.0,1016372.0,1012385.0,1009281.0,1005510.0,1004780.0,1006073.0,1006467.0,1002517.0,1001300.0,1005897.0,1009926.0,1011120.0,1009801.0,1014972.0,1013840.0,1016516.0,1021287.0,1018626.0,1018866.0,1017514.0,1014065.0
5,Башкортостан,3941321.0,3962282.0,3987884.0,4022150.0,4037178.0,4062622.0,4084473.0,4098089.0,4107790.0,4117545.0,4119810.0,4115176.0,4108249.0,4102274.0,4094215.0,4081349.0,4066257.0,4053439.0,4054821.0,4059373.0,4068545.0,4072085.0,4064245.0,4060957.0,4069698.0,4071987.0,4071064.0,4066972.0,4063293.0,4051005.0
6,Белгородская область,1387455.0,1397986.0,1404959.0,1419743.0,1434551.0,1454923.0,1467562.0,1478580.0,1485855.0,1494868.0,1501699.0,1506976.0,1508137.0,1511899.0,1513860.0,1511662.0,1511715.0,1514153.0,1520102.0,1526258.0,1531781.0,1532353.0,1536073.0,1540985.0,1544108.0,1547936.0,1550137.0,1552865.0,1549876.0,1547418.0
7,Брянская область,1470953.0,1457987.0,1456025.0,1460144.0,1462308.0,1469251.0,1466792.0,1459181.0,1448275.0,1437471.0,1423178.0,1407965.0,1391430.0,1375004.0,1360249.0,1344132.0,1327652.0,1312748.0,1303343.0,1294251.0,1286540.0,1275354.0,1264416.0,1253666.0,1242599.0,1232940.0,1225741.0,1220530.0,1210982.0,1200187.0
8,Бурятия,1048063.0,1052038.0,1052030.0,1046176.0,1039946.0,1037366.0,1033258.0,1028533.0,1020468.0,1013433.0,1004808.0,996912.0,987289.0,979605.0,974561.0,970994.0,966914.0,964581.0,965156.0,966595.0,969736.0,971538.0,971391.0,971810.0,973860.0,978495.0,982284.0,984134.0,984511.0,983273.0
9,Владимирская область,1657068.0,1654489.0,1647701.0,1642469.0,1634028.0,1630514.0,1623677.0,1612692.0,1602911.0,1592184.0,1575507.0,1558052.0,1539179.0,1520057.0,1509571.0,1497598.0,1486453.0,1475861.0,1466743.0,1457937.0,1449773.0,1441129.0,1431932.0,1421742.0,1413321.0,1405613.0,1397168.0,1389599.0,1378337.0,1365805.0
